seq	sex	serious_yn	age
1	M	N	3
2	M	N	6
3	M	N	4
4	M	N	4
5	F	N	3
6	M	N	2
7	F	N	6
8	F	N	5
9	M	N	2
10	F	N	5
11	M	N	2
12	M	Y	5
13	F	N	3
14	F	Y	2
15	M	N	5
16	M	N	5
17	M	N	2
18	F	N	3
19	M	N	2
20	F	N	3
21	M	N	2
22	M	Y	4
23	F	N	3
24	M	N	2
25	F	N	3
26	F	N	3
27	M	N	2
28	F	N	3
29	M	N	2
30	M	Y	4
31	M	N	2
32	M	N	2
33	M	N	2
34	F	N	3
35	M	N	5
36	F	Y	6
37	M	N	2
38	F	N	3
39	M	Y	5
40	M	N	2
41	M	N	2
42	F	N	3
43	M	N	2
44	M	Y	5
45	M	N	2
46	F	N	5
47	M	N	2
48	F	N	5
49	M	N	2
50	M	N	2
51	M	N	2
52	F	N	3
53	M	N	2
54	F	N	3
55	M	N	2
56	F	N	3
57	F	N	3
58	M	N	2
59	M	Y	5
60	M	N	2
61	M	N	2
62	F	Y	6
63	F	N	3
64	M	N	2
65	F	N	3
66	M	N	2
67	M	N	2
68	F	N	3
69	M	Y	5
70	M	N	2
71	M	N	2
72	F	N	3
73	M	N	2
74	M	N	2
75	M	N	4
76	M	Y	3
77	M	N	2
78	M	N	2
79	F	N	5
80	M	N	2
81	F	N	3
82	M	N	2
83	M	N	2
84	M	N	2
85	M	N	2
86	F	N	3
87	M	N	2
88	F	N	4
89	F	N	3
90	M	Y	3
91	M	N	2
92	F	N	3
93	F	N	3
94	M	N	2
95	F	N	3
96	F	N	3
97	M	N	2
98	M	N	2
99	M	N	2
100	M	N	2
101	M	N	2
102	M	Y	3
103	F	N	3
104	M	N	2
105	F	Y	3
106	M	N	2
107	F	N	3
108	M	N	2
109	M	N	2
110	M	N	2
111	M	N	2
112	F	N	5
113	M	N	2
114	M	N	2
115	F	N	6
116	F	N	6
117	F	N	3
118	M	N	2
119	M	Y	3
120	M	N	2
121	M	N	2
122	M	N	2
123	M	N	2
