seq,cust_id,ctg_1,ctg_2,sales_amt
1,100001,household goods,paper towel,13900.0
2,100001,clothing,men's clothing,62900.0
3,100001,clothing,sports wear,14700.0
4,100002,clothing,men's clothing,63800.0
5,100002,clothing,infant clothes,29200.0
6,100003,food,snack,8800.0
7,100003,clothing,men's clothing,63000.0
8,100004,clothing,men's clothing,59900.0
9,100004,clothing,infant clothes,34500.0
10,100005,household goods,paper towel,16900.0
11,100005,clothing,men's clothing,64000.0
12,100006,clothing,road shop brand,43300.0
13,100007,clothing,children & junior clothing,55100.0
14,100007,clothing,pajamas,19000.0
15,100008,food,processed food,9700.0
16,100008,food,agricultural products,17400.0
17,100008,clothing,sports wear,20500.0
18,100009,clothing,men's clothing,66900.0
19,100009,clothing,pajamas,15100.0
20,100010,clothing,Other Apparel,99400.0
21,100011,household goods,household goods,44700.0
22,100011,clothing,men's clothing,62100.0
23,100012,clothing,children & junior clothing,59400.0
24,100012,clothing,women's clothing,100600.0
25,100012,clothing,road shop brand,49300.0
26,100012,clothing,women's clothing,100400.0
27,100013,food,beverage,5700.0
28,100013,clothing,children & junior clothing,60100.0
29,100014,household goods,paper towel,16900.0
30,100014,clothing,men's clothing,64400.0
31,100014,clothing,underwear,17600.0
32,100015,clothing,men's clothing,60400.0
33,100015,clothing,women's clothing,93700.0
34,100015,clothing,infant clothes,33800.0
35,100015,clothing,women's clothing,94600.0
36,100016,clothing,men's clothing,65100.0
37,100017,clothing,road shop brand,47300.0
38,100018,clothing,children & junior clothing,56800.0
39,100019,food,cookies,8500.0
40,100019,clothing,men's clothing,59500.0
41,100020,food,aquaculture products,32700.0
42,100020,food,beverage,10000.0
43,100020,clothing,women's clothing,101100.0
44,100020,food,cookies,13300.0
45,100020,food,beverage,10300.0
46,100020,cosmetics,men's cosmetics,84300.0
47,100021,clothing,men's clothing,64800.0
48,100021,clothing,women's clothing,100000.0
49,100022,clothing,children & junior clothing,59300.0
50,100023,cosmetics,luxury cosmetics,526500.0
51,100023,household goods,paper towel,12900.0
52,100023,clothing,men's clothing,67200.0
53,100023,clothing,children & junior clothing,54500.0
54,100023,clothing,underwear,14400.0
55,100023,clothing,women's clothing,96000.0
56,100023,clothing,infant clothes,27000.0
57,100023,clothing,pajamas,14800.0
58,100024,clothing,men's clothing,67600.0
59,100024,clothing,children & junior clothing,59000.0
60,100025,food,beverage,9100.0
61,100025,clothing,men's clothing,61600.0
62,100026,food,aquaculture products,40200.0
63,100026,clothing,women's clothing,98100.0
64,100027,clothing,men's clothing,64400.0
65,100027,clothing,women's clothing,97000.0
66,100027,clothing,infant clothes,33400.0
67,100027,clothing,maternity,88700.0
68,100028,food,beverage,8200.0
69,100028,clothing,children & junior clothing,60400.0
70,100028,cosmetics,luxury cosmetics,526700.0
71,100028,clothing,men's clothing,63500.0
72,100028,clothing,sports wear,16200.0
73,100028,clothing,women's clothing,98600.0
74,100028,clothing,pajamas,19200.0
75,100029,clothing,men's clothing,66100.0
76,100029,clothing,women's clothing,95500.0
77,100029,clothing,women's clothing,93100.0
78,100030,clothing,men's clothing,66800.0
79,100030,clothing,children & junior clothing,61100.0
80,100030,clothing,women's clothing,93500.0
81,100030,food,beverage,13600.0
82,100030,clothing,women's clothing,96800.0
83,100031,food,cookies,12700.0
84,100031,clothing,men's clothing,65100.0
85,100031,clothing,sports wear,15900.0
86,100032,household goods,paper towel,11200.0
87,100032,food,cookies,5900.0
88,100032,clothing,men's clothing,67400.0
89,100032,clothing,children & junior clothing,57400.0
90,100033,clothing,Other Apparel,96500.0
91,100033,clothing,children & junior clothing,59900.0
92,100033,household goods,paper towel,14800.0
93,100033,clothing,Other Apparel,93700.0
94,100033,clothing,road shop brand,51000.0
95,100033,clothing,sports wear,14000.0
96,100033,clothing,children & junior clothing,55500.0
97,100034,household goods,paper towel,16500.0
98,100034,clothing,children & junior clothing,61800.0
99,100035,clothing,women's clothing,98100.0
100,100036,electronic products,kitchen appliances,345600.0
101,100036,household goods,paper towel,15900.0
102,100036,food,beverage,9800.0
103,100036,clothing,men's clothing,63900.0
104,100036,cosmetics,body products,70000.0
105,100037,household goods,paper towel,14600.0
106,100037,clothing,women's clothing,98000.0
107,100038,electronic products,video sound,679800.0
108,100038,clothing,men's clothing,60400.0
109,100038,clothing,children & junior clothing,60100.0
110,100038,clothing,women's clothing,100600.0
111,100038,clothing,Other Apparel,96400.0
112,100038,clothing,women's clothing,95500.0
113,100038,clothing,road shop brand,42800.0
114,100038,cosmetics,luxury cosmetics,530700.0
115,100038,cosmetics,luxury cosmetics,525000.0
116,100038,clothing,children & junior clothing,60900.0
117,100038,clothing,women's clothing,94400.0
118,100038,cosmetics,luxury cosmetics,522400.0
119,100038,clothing,women's clothing,93000.0
120,100038,clothing,women's clothing,94300.0
121,100038,food,processed food,13900.0
122,100038,food,health food,100200.0
123,100038,clothing,infant clothes,32100.0
124,100039,clothing,Other Apparel,93000.0
125,100039,clothing,children & junior clothing,56600.0
126,100039,clothing,men's clothing,60400.0
127,100039,clothing,children & junior clothing,59300.0
128,100039,clothing,women's clothing,94700.0
129,100040,electronic products,video sound,675100.0
130,100040,household goods,kitchen utensils,8900.0
131,100040,food,agricultural products,16300.0
132,100040,food,beverage,13800.0
133,100040,clothing,men's clothing,59900.0
134,100040,clothing,road shop brand,45400.0
135,100040,clothing,children & junior clothing,59100.0
