seq,father_height,son_height
1.0,160.9,158.6
2.0,166.5,157.2
3.0,159.7,157.5
4.0,162.7,166.1
5.0,161.3,159.8
6.0,165.9,159.7
7.0,161.7,159.4
8.0,160.1,159.1
9.0,163.4,160.7
10.0,165.7,159.1
11.0,156.0,162.2
12.0,165.7,162.5
13.0,167.5,163.3
14.0,158.5,162.7
15.0,160.0,162.4
16.0,161.2,161.1
17.0,164.2,161.7
18.0,162.2,163.0
19.0,166.7,161.8
20.0,165.2,162.9
21.0,167.7,162.0
22.0,172.0,162.9
23.0,164.7,165.6
24.0,167.9,165.1
25.0,159.5,164.5
26.0,160.7,164.1
27.0,160.1,164.0
28.0,162.6,165.2
29.0,162.0,163.5
30.0,162.2,164.0
31.0,165.5,163.9
32.0,164.7,163.9
33.0,166.6,164.3
34.0,168.0,163.5
35.0,169.0,165.0
36.0,167.6,164.3
37.0,169.4,164.8
38.0,171.7,165.0
39.0,177.7,165.2
40.0,164.4,167.2
41.0,159.5,167.8
42.0,159.5,166.6
43.0,158.1,166.0
44.0,161.9,166.7
45.0,160.9,166.2
46.0,162.5,172.3
47.0,169.9,171.8
48.0,164.6,163.3
49.0,160.5,163.4
50.0,172.2,171.5
51.0,160.3,167.5
52.0,161.6,167.0
53.0,162.9,166.8
54.0,162.9,167.3
55.0,162.2,168.2
56.0,163.0,167.8
57.0,162.7,166.4
58.0,166.0,168.1
59.0,164.8,167.1
60.0,166.8,166.1
61.0,166.4,167.2
62.0,164.8,167.9
63.0,168.7,168.0
64.0,167.7,167.0
65.0,169.0,168.0
66.0,168.4,167.5
67.0,170.6,168.1
68.0,170.5,167.2
69.0,172.2,166.2
70.0,174.1,165.9
71.0,173.2,166.4
72.0,180.0,168.2
73.0,165.4,169.2
74.0,165.5,170.3
75.0,158.1,169.2
76.0,159.7,170.0
77.0,159.6,169.9
78.0,163.3,169.9
79.0,162.8,169.5
80.0,163.3,170.4
81.0,162.1,169.4
82.0,162.6,169.9
83.0,165.2,169.2
84.0,165.0,170.6
85.0,165.7,168.9
86.0,165.6,169.3
87.0,165.4,170.0
88.0,166.1,168.7
89.0,167.6,169.6
90.0,168.9,169.1
91.0,167.3,169.7
92.0,169.3,168.8
93.0,167.4,169.6
94.0,170.0,169.0
95.0,171.5,169.8
96.0,170.1,168.9
97.0,171.0,170.6
98.0,171.6,169.7
99.0,169.8,170.5
100.0,172.1,169.3
101.0,174.2,170.0
102.0,176.1,168.5
103.0,175.2,170.6
104.0,177.3,168.9
105.0,181.3,168.7
106.0,166.0,171.0
107.0,167.5,173.1
108.0,161.8,173.3
109.0,159.8,172.6
110.0,164.3,173.3
111.0,162.7,172.1
112.0,162.5,172.7
113.0,163.4,173.1
114.0,164.6,172.3
115.0,164.7,172.9
116.0,164.9,170.9
117.0,167.5,172.4
118.0,169.4,172.1
119.0,167.8,172.2
120.0,167.1,172.8
121.0,168.4,171.9
122.0,171.1,171.4
123.0,170.9,173.7
124.0,169.8,172.3
125.0,169.8,172.1
126.0,169.8,170.8
127.0,174.1,172.4
128.0,173.2,171.3
129.0,173.5,172.3
130.0,173.7,172.0
131.0,176.3,173.1
132.0,175.4,171.9
133.0,178.6,171.8
134.0,185.5,171.7
135.0,160.5,173.7
136.0,162.2,174.2
137.0,162.4,173.8
138.0,163.1,174.7
139.0,163.1,175.4
140.0,166.8,175.4
141.0,167.0,173.5
142.0,167.3,175.0
143.0,169.3,174.0
144.0,169.5,173.7
145.0,168.5,175.8
146.0,171.9,174.5
147.0,170.9,174.4
148.0,171.7,174.0
149.0,171.8,174.8
150.0,172.0,173.6
151.0,173.6,174.0
152.0,172.9,173.9
153.0,175.3,173.4
154.0,175.3,174.3
155.0,176.4,174.1
156.0,178.5,175.7
157.0,178.6,174.1
158.0,186.6,174.3
159.0,159.6,177.4
160.0,164.2,176.1
161.0,162.2,177.7
162.0,165.2,177.0
163.0,165.5,178.2
164.0,168.7,177.5
165.0,167.0,175.9
166.0,167.8,177.2
167.0,170.6,176.7
168.0,171.3,177.2
169.0,170.1,176.3
170.0,172.5,177.3
171.0,173.9,177.9
172.0,173.3,177.0
173.0,173.8,176.6
174.0,175.4,177.5
175.0,176.1,178.2
176.0,179.1,176.9
177.0,180.7,176.3
178.0,185.1,178.2
179.0,166.7,180.0
180.0,166.5,178.7
181.0,167.7,179.9
182.0,171.5,179.5
183.0,171.0,180.3
184.0,173.2,179.0
185.0,172.6,179.9
186.0,174.8,180.2
187.0,175.9,179.7
188.0,179.3,179.0
189.0,179.3,179.5
190.0,167.0,181.0
191.0,168.8,181.6
192.0,170.2,181.2
193.0,172.9,182.0
194.0,176.9,183.1
195.0,175.1,181.2
196.0,177.9,182.0
197.0,166.1,184.8
198.0,168.8,185.0
199.0,173.3,183.4
200.0,175.3,183.8
201.0,179.5,183.4
202.0,168.1,187.9
203.0,167.1,188.2
204.0,180.1,192.0
205.0,165.1,162.4
206.0,168.7,184.7
207.0,161.0,176.4
208.0,181.7,187.4
209.0,165.7,163.6
210.0,164.7,159.1
211.0,172.9,165.3
212.0,175.8,183.3
213.0,174.9,165.0
214.0,171.9,164.7
215.0,173.6,162.7
216.0,161.9,159.1
217.0,163.5,166.1
218.0,167.3,158.0
219.0,162.3,157.9
220.0,168.3,166.4
221.0,162.9,158.5
222.0,167.8,158.5
223.0,160.5,160.1
224.0,162.8,158.4
225.0,164.3,160.3
226.0,170.2,159.8
227.0,162.8,162.1
228.0,159.1,161.9
229.0,167.6,163.0
230.0,160.8,161.5
231.0,161.7,162.0
232.0,160.3,162.1
233.0,162.6,163.1
234.0,163.4,163.2
235.0,165.9,161.3
236.0,167.7,162.7
237.0,170.8,160.9
238.0,163.8,163.7
239.0,165.3,163.6
240.0,168.0,165.8
241.0,161.8,165.5
242.0,159.9,165.2
243.0,163.4,164.9
244.0,163.7,164.7
245.0,163.3,165.1
246.0,162.8,165.8
247.0,166.8,164.7
248.0,166.1,165.2
249.0,166.6,165.8
250.0,167.9,163.5
251.0,169.0,164.6
252.0,168.1,164.9
253.0,169.9,163.7
254.0,176.1,165.0
255.0,164.4,166.3
256.0,165.6,166.1
257.0,158.5,167.5
258.0,158.1,168.3
259.0,160.4,167.1
260.0,161.8,167.3
261.0,160.2,167.7
262.0,169.9,171.5
263.0,161.3,164.2
264.0,159.1,159.4
265.0,163.5,164.1
266.0,170.7,163.6
267.0,159.6,166.5
268.0,163.5,166.1
269.0,162.6,166.6
270.0,164.4,167.7
271.0,162.4,166.2
272.0,164.3,167.2
273.0,167.6,168.9
274.0,165.4,167.0
275.0,165.0,168.1
276.0,166.6,166.4
277.0,166.6,166.0
278.0,168.1,167.0
279.0,167.7,167.2
280.0,168.5,166.0
281.0,168.9,166.1
282.0,170.3,167.8
283.0,171.7,166.9
284.0,171.5,166.8
285.0,174.4,166.5
286.0,173.3,168.0
287.0,174.8,166.2
288.0,164.4,168.4
289.0,166.2,168.8
290.0,167.1,170.7
291.0,158.1,170.5
292.0,159.9,170.2
293.0,160.5,170.1
294.0,163.1,170.2
295.0,163.8,170.0
296.0,164.4,168.9
297.0,162.1,169.8
298.0,165.5,169.0
299.0,166.0,169.5
300.0,165.3,170.5
301.0,166.2,170.5
302.0,164.6,168.6
303.0,164.6,168.8
304.0,164.9,169.7
305.0,168.7,169.1
306.0,167.3,168.7
307.0,168.9,168.6
308.0,168.2,170.6
309.0,170.7,169.3
310.0,171.5,168.8
311.0,170.4,170.3
312.0,170.6,170.6
313.0,171.7,169.3
314.0,171.9,169.3
315.0,174.0,168.4
316.0,173.0,170.1
317.0,174.9,170.6
318.0,174.6,169.8
319.0,179.1,169.3
320.0,179.3,170.1
321.0,165.2,172.5
322.0,158.1,171.6
323.0,159.6,172.5
324.0,160.4,171.3
325.0,161.7,172.5
326.0,162.9,172.4
327.0,164.0,171.5
328.0,162.8,173.1
329.0,165.3,172.2
330.0,166.2,173.3
331.0,166.5,171.3
332.0,167.1,171.8
333.0,168.9,172.7
334.0,169.1,172.0
335.0,167.3,173.2
336.0,169.4,171.2
337.0,169.6,172.2
338.0,170.9,171.8
339.0,169.6,171.5
340.0,171.1,172.4
341.0,169.7,172.1
342.0,169.6,171.4
343.0,172.3,172.5
344.0,174.2,170.9
345.0,173.1,171.0
346.0,173.8,172.5
347.0,176.4,172.6
348.0,176.4,172.9
349.0,179.6,172.1
350.0,159.3,173.9
351.0,160.6,173.9
352.0,164.1,174.0
353.0,163.4,173.4
354.0,162.5,173.6
355.0,165.1,173.8
356.0,164.9,174.8
357.0,169.1,173.7
358.0,168.1,173.9
359.0,168.1,174.7
360.0,168.9,175.8
361.0,170.1,175.0
362.0,170.8,175.0
363.0,169.7,175.6
364.0,171.7,174.5
365.0,172.6,173.7
366.0,172.3,174.6
367.0,174.3,174.8
368.0,172.9,174.9
369.0,175.6,173.6
370.0,176.2,175.4
371.0,176.8,174.0
372.0,177.2,173.4
373.0,181.1,173.7
374.0,158.1,176.2
375.0,163.3,177.5
376.0,163.4,177.0
377.0,166.9,175.9
378.0,165.0,175.9
379.0,168.9,177.4
380.0,167.6,176.3
381.0,168.9,176.3
382.0,169.2,176.2
383.0,171.0,177.0
384.0,171.0,177.3
385.0,172.5,177.1
386.0,173.2,177.4
387.0,172.1,178.0
388.0,173.1,176.5
389.0,175.4,177.0
390.0,174.8,177.6
391.0,178.8,177.5
392.0,176.9,176.3
393.0,180.6,178.2
394.0,163.8,179.3
395.0,166.4,179.1
396.0,167.8,179.0
397.0,170.9,178.4
398.0,171.6,178.9
399.0,172.2,179.5
400.0,173.4,179.8
401.0,173.6,180.5
402.0,176.3,179.2
403.0,178.3,178.6
404.0,179.0,178.6
405.0,165.9,181.7
406.0,167.9,182.6
407.0,170.9,182.0
408.0,172.2,182.5
409.0,172.5,182.1
410.0,174.5,181.2
411.0,179.1,181.0
412.0,180.1,182.2
413.0,168.5,183.9
414.0,169.7,185.6
415.0,176.4,183.8
416.0,178.4,185.5
417.0,184.8,184.8
418.0,176.1,186.7
419.0,169.0,191.9
420.0,159.5,161.1
421.0,158.2,165.1
422.0,166.0,165.1
423.0,157.3,155.5
424.0,182.8,174.1
425.0,178.2,176.5
426.0,161.0,161.5
427.0,161.8,175.3
428.0,178.0,172.2
429.0,176.4,161.4
430.0,161.2,171.0
431.0,170.5,173.7
432.0,159.5,165.5
433.0,158.3,157.4
434.0,164.4,158.0
435.0,166.1,166.3
436.0,164.1,158.9
437.0,168.0,160.0
438.0,161.9,159.7
439.0,162.3,160.6
440.0,163.7,159.9
441.0,167.3,158.6
442.0,159.0,163.3
443.0,165.8,161.2
444.0,167.3,163.2
445.0,161.2,161.0
446.0,161.1,161.1
447.0,160.3,161.9
448.0,163.9,163.0
449.0,163.8,162.4
450.0,164.8,162.0
451.0,168.2,161.9
452.0,170.8,161.2
453.0,163.7,165.0
454.0,166.3,165.1
455.0,159.5,165.1
456.0,167.7,164.9
457.0,159.9,163.6
458.0,159.8,164.4
459.0,163.4,165.3
460.0,163.2,164.9
461.0,162.4,165.6
462.0,166.0,164.1
463.0,166.5,165.3
464.0,166.2,164.1
465.0,169.2,165.3
466.0,167.3,165.1
