id	gender	gen_cd	Height	hair	time
1	f	1	155	1	1
2	f	1	152	0	1
3	f	1	168	1	1
4	f	1	151	1	1
5	m	0	181	1	0
6	m	0	183	1	1
7	m	0	175	0	0
8	m	0	181	0	0
9	f	1	152	1	1
10	m	0	183	1	0
11	f	1	156	1	0
12	f	1	153	0	1
13	m	0	169	0	0
14	m	0	181	0	0
15	m	0	165	0	0
16	f	1	160	1	1
17	f	1	161	1	1
18	m	0	177	1	0
19	m	0	169	0	0
20	m	0	162	0	0
21	f	1	152	1	1
22	m	0	161	0	1
23	f	1	167	1	0
24	m	0	175	0	0
25	f	1	162	0	1
26	m	0	162	0	0
27	f	1	155	1	0
28	m	0	161	0	0
29	f	1	165	1	1
30	m	0	179	0	0
31	m	0	176	0	0
32	m	0	168	1	0
33	f	1	154	1	1
34	f	1	168	1	0
35	m	0	166	1	1
36	m	0	166	0	0
37	m	0	167	0	1
38	f	1	157	1	1
39	m	0	163	1	0
40	f	1	164	1	1
41	f	1	171	1	0
42	m	0	183	1	0
43	f	1	163	1	1
44	m	0	181	1	0
45	m	0	163	0	0
46	m	0	170	0	1
47	f	1	150	1	1
48	m	0	187	1	0
49	m	0	181	0	1
50	m	0	186	0	0
51	m	0	184	1	1
52	f	1	170	1	1
53	m	0	161	0	0
54	m	0	184	0	0
55	m	0	171	0	0
56	m	0	169	0	0
57	f	1	163	0	1
58	f	1	166	1	1
59	f	1	155	1	0
60	m	0	188	1	0
61	m	0	168	1	1
62	m	0	187	1	1
63	f	1	163	1	1
64	m	0	176	0	0
65	f	1	152	1	1
66	f	1	171	0	1
67	f	1	152	1	1
68	m	0	178	0	1
69	m	0	168	0	0
70	m	0	175	0	0
71	f	1	157	0	0
72	m	0	160	0	0
73	f	1	174	1	1
74	m	0	163	1	1
75	f	1	152	0	1
76	f	1	160	1	1
77	f	1	162	0	1
78	m	0	171	1	0
79	m	0	187	0	0
80	f	1	158	0	1
81	f	1	155	1	1
82	m	0	162	1	0
83	f	1	157	1	0
84	m	0	160	1	0
85	f	1	167	0	1
86	f	1	172	1	0
87	m	0	165	1	1
88	m	0	186	1	0
89	f	1	156	1	1
90	m	0	173	0	0
91	m	0	162	1	0
92	f	1	167	1	0
93	f	1	150	1	0
94	f	1	161	1	1
95	m	0	179	0	0
96	m	0	187	0	0
97	m	0	185	0	0
98	m	0	167	0	0
99	m	0	180	0	1
100	m	0	161	1	0
101	m	0	184	0	0
102	f	1	168	1	1
103	m	0	160	0	0
104	f	1	164	0	1
105	m	0	186	0	0
106	m	0	166	0	0
107	m	0	161	0	1
108	f	1	169	1	1
109	f	1	152	1	1
110	m	0	169	0	0
111	m	0	177	0	0
112	f	1	173	1	0
113	f	1	164	1	1
114	m	0	179	1	0
115	m	0	161	1	0
116	m	0	173	0	1
117	f	1	169	1	1
118	m	0	163	0	0
119	f	1	160	1	1
120	f	1	150	0	1
121	m	0	189	0	0
122	m	0	167	0	1
123	m	0	186	0	0
124	f	1	173	0	0
125	f	1	153	1	1
126	f	1	171	1	0
127	f	1	166	0	1
128	f	1	168	1	0
129	m	0	183	0	0
130	f	1	158	1	1
131	m	0	181	0	0
132	m	0	169	1	0
133	f	1	166	1	1
134	f	1	165	1	1
