id	gender	Height	hair
1	f	155	1
2	f	152	0
3	f	168	1
4	f	151	1
5	m	181	1
6	m	183	1
7	m	175	0
8	m	181	0
9	f	152	1
10	m	183	1
11	f	156	1
12	f	153	0
13	m	169	0
14	m	181	0
15	m	165	0
16	f	160	1
17	f	161	1
18	m	177	1
19	m	169	0
20	m	162	0
21	f	152	1
22	m	161	0
23	f	167	1
24	m	175	0
25	f	162	0
26	m	162	0
27	f	155	1
28	m	161	0
29	f	165	1
30	m	179	0
31	m	176	0
32	m	168	1
33	f	154	1
34	f	168	1
35	m	166	1
36	m	166	0
37	m	167	0
38	f	157	1
39	m	163	1
40	f	164	1
41	f	171	1
42	m	183	1
43	f	163	1
44	m	181	1
45	m	163	0
46	m	170	0
47	f	150	1
48	m	187	1
49	m	181	0
50	m	186	0
51	m	184	1
52	f	170	1
53	m	161	0
54	m	184	0
55	m	171	0
56	m	169	0
57	f	163	0
58	f	166	1
59	f	155	1
60	m	188	1
61	m	168	1
62	m	187	1
63	f	163	1
64	m	176	0
65	f	152	1
66	f	171	0
67	f	152	1
68	m	178	0
69	m	168	0
70	m	175	0
71	f	157	0
72	m	160	0
73	f	174	1
74	m	163	1
75	f	152	0
76	f	160	1
77	f	162	0
78	m	171	1
79	m	187	0
80	f	158	0
81	f	155	1
82	m	162	1
83	f	157	1
84	m	160	1
85	f	167	0
86	f	172	1
87	m	165	1
88	m	186	1
89	f	156	1
90	m	173	0
91	m	162	1
92	f	167	1
93	f	150	1
94	f	161	1
95	m	179	0
96	m	187	0
97	m	185	0
98	m	167	0
99	m	180	0
100	m	161	1
101	m	184	0
102	f	168	1
103	m	160	0
104	f	164	0
105	m	186	0
106	m	166	0
107	m	161	0
108	f	169	1
109	f	152	1
110	m	169	0
111	m	177	0
112	f	173	1
113	f	164	1
114	m	179	1
115	m	161	1
116	m	173	0
117	f	169	1
118	m	163	0
119	f	160	1
120	f	150	0
121	m	189	0
122	m	167	0
123	m	186	0
124	f	173	0
125	f	153	1
126	f	171	1
127	f	166	0
128	f	168	1
129	m	183	0
130	f	158	1
131	m	181	0
132	m	169	1
133	f	166	1
134	f	165	1
135	m	167	0
136	m	168	1
137	f	165	1
138	m	188	0
139	f	170	1
140	f	155	1
141	m	181	1
142	m	185	1
143	f	171	1
144	m	167	0
145	f	150	1
146	m	162	0
147	m	164	0
148	f	157	1
149	m	188	0
150	f	172	1
151	f	160	0
152	f	164	0
153	m	175	0
154	f	161	1
155	m	179	1
156	f	161	1
157	f	155	0
158	m	182	1
159	m	161	1
160	f	165	0
161	f	154	1
162	m	185	0
163	m	186	0
164	m	180	1
165	m	185	0
166	f	167	0
167	m	183	0
168	m	164	0
169	m	184	1
170	m	173	1
171	f	155	1
172	f	172	0
173	f	153	1
174	f	152	1
175	f	165	1
176	m	183	0
177	m	162	0
178	m	180	0
179	f	159	1
180	f	156	1
181	f	155	1
182	m	174	1
183	m	178	0
184	m	161	1
185	m	163	0
186	m	188	0
187	f	166	1
188	f	161	0
189	m	164	0
190	f	150	1
191	m	188	0
192	m	169	1
193	m	185	0
194	m	175	0
195	m	180	0
196	f	169	1
197	m	176	0
198	m	168	0
199	f	162	1
200	m	172	0
201	m	161	0
202	f	156	0
203	m	168	0
204	m	163	1
205	m	169	0
206	f	161	0
207	m	178	1
208	f	162	1
209	f	153	1
210	m	186	0
211	m	184	0
212	f	167	1
213	f	169	0
214	f	174	1
215	f	172	0
216	f	154	1
217	f	156	1
218	m	171	0
219	m	184	0
220	m	184	1
221	m	180	0
222	f	154	1
223	f	151	1
224	m	165	1
225	m	177	0
226	m	161	0
227	f	164	1
228	f	160	1
229	f	156	1
230	m	187	0
231	f	169	1
232	f	151	1
233	f	152	1
234	f	166	0
235	f	158	1
236	m	171	1
237	f	173	1
238	m	188	1
239	f	162	0
240	m	177	1
241	m	161	1
242	m	185	0
243	f	165	1
244	m	164	0
245	m	176	0
246	m	187	0
247	m	176	0
248	f	166	1
249	m	175	0
250	f	157	1
251	m	160	1
252	f	167	1
253	m	160	0
254	f	157	1
255	f	163	1
256	f	171	0
257	f	170	1
258	m	185	0
259	m	174	0
260	f	170	1
261	m	189	1
262	f	163	1
263	f	172	1
264	m	177	0
265	m	174	0
266	f	166	1
267	m	160	0
268	m	169	0
269	m	163	0
270	m	175	0
271	m	163	0
272	m	180	1
273	f	151	1
274	f	160	1
275	f	164	1
276	f	165	1
277	m	182	0
278	f	155	1
279	m	169	0
280	f	165	1
281	f	174	1
282	f	168	1
283	m	171	0
284	m	173	0
285	f	157	1
286	f	159	0
287	m	179	0
288	m	169	0
289	m	177	0
290	f	174	1
291	m	165	1
292	f	174	0
293	f	157	0
294	f	173	0
295	m	175	1
296	m	161	0
297	f	160	1
298	f	166	1
299	m	162	0
300	m	170	0
301	f	171	1
302	m	189	0
303	f	163	1
304	m	160	0
305	f	154	0
306	m	168	0
307	f	151	1
308	m	174	0
309	f	156	1
310	f	160	1
311	m	186	0
312	f	154	1
313	m	170	0
314	f	159	1
315	f	167	1
316	f	162	1
317	m	161	0
318	f	159	1
319	f	157	0
320	f	169	1
321	m	188	0
322	f	173	0
323	m	173	1
324	m	178	0
325	f	167	1
326	m	167	0
327	m	161	1
328	m	167	0
329	m	169	0
330	m	178	1
331	f	152	1
332	f	161	0
333	m	164	0
334	f	156	1
335	f	155	0
336	f	154	1
337	f	154	1
338	m	187	0
339	f	160	1
340	f	163	1
341	f	156	1
342	f	153	0
343	m	185	0
344	f	174	1
345	m	166	0
346	f	163	1
347	f	150	1
348	m	180	0
349	m	171	0
350	m	188	0
351	f	172	1
352	f	161	1
353	f	154	1
354	m	178	0
355	m	166	1
356	m	183	0
357	m	165	0
358	m	186	0
359	f	153	1
360	m	164	0
361	f	154	1
362	f	173	0
363	f	172	1
364	m	164	1
365	m	173	1
366	f	151	1
367	m	181	1
368	f	156	1
369	m	176	0
370	m	166	0
371	f	156	0
372	f	170	1
373	f	150	1
374	f	165	1
375	m	180	0
376	f	153	1
377	f	156	0
378	m	176	1
379	f	156	1
380	f	171	1
381	f	174	1
382	m	178	0
383	m	184	0
384	f	150	1
385	m	186	0
386	f	157	1
387	f	164	1
388	f	174	1
389	f	162	1
390	m	161	0
391	f	163	1
392	f	159	1
393	f	169	1
394	f	174	0
395	f	167	1
396	f	167	1
397	f	167	1
398	m	183	0
399	f	165	1
400	m	187	1
401	m	186	1
402	m	160	1
403	f	162	1
404	m	169	0
405	m	175	0
406	m	183	0
407	f	170	1
408	f	153	1
409	m	170	0
410	f	154	1
411	f	156	1
412	f	155	1
