homeid,createdate,accessmethod,age,numfamily
275,2016-06-26 21:00,NUM,68.0,2.0
275,2016-06-20 17:10,NUM,68.0,2.0
275,2016-06-20 10:10,INDOOR,68.0,2.0
275,2016-06-20 8:40,NUM,68.0,2.0
275,2016-06-20 6:10,INDOOR,68.0,2.0
275,2016-06-26 21:00,NUM,70.0,2.0
275,2016-06-20 22:00,NUM,70.0,2.0
275,2016-06-20 9:20,INDOOR,70.0,2.0
3708,2016-06-26 15:20,NUM,78.0,2.0
3708,2016-06-26 14:00,INDOOR,78.0,2.0
3708,2016-06-20 14:40,NUM,78.0,2.0
3708,2016-06-20 14:20,INDOOR,78.0,2.0
3708,2016-06-26 20:20,NUM,82.0,2.0
3708,2016-06-26 19:40,INDOOR,82.0,2.0
3708,2016-06-26 14:10,NUM,82.0,2.0
3708,2016-06-26 14:00,INDOOR,82.0,2.0
3708,2016-06-26 12:10,NUM,82.0,2.0
3708,2016-06-26 9:00,INDOOR,82.0,2.0
3708,2016-06-20 21:00,NUM,82.0,2.0
3708,2016-06-20 20:50,INDOOR,82.0,2.0
3708,2016-06-20 20:00,NUM,82.0,2.0
3708,2016-06-20 19:20,INDOOR,82.0,2.0
3708,2016-06-20 17:20,NUM,82.0,2.0
3708,2016-06-20 16:40,INDOOR,82.0,2.0
3708,2016-06-20 12:00,NUM,82.0,2.0
3708,2016-06-20 9:20,INDOOR,82.0,2.0
10690,2016-06-22 17:00,NUM,14.0,4.0
10690,2016-06-22 7:50,INDOOR,14.0,4.0
10690,2016-06-21 17:00,NUM,14.0,4.0
10690,2016-06-21 7:50,INDOOR,14.0,4.0
10690,2016-06-22 22:20,NUM,16.0,4.0
10690,2016-06-22 7:20,INDOOR,16.0,4.0
10690,2016-06-21 22:40,NUM,16.0,4.0
10690,2016-06-21 7:20,INDOOR,16.0,4.0
10690,2016-06-22 22:20,NUM,48.0,4.0
10690,2016-06-22 7:20,INDOOR,48.0,4.0
10690,2016-06-21 18:20,NUM,48.0,4.0
10690,2016-06-21 7:20,INDOOR,48.0,4.0
10690,2016-06-22 18:20,NUM,44.0,4.0
10690,2016-06-22 17:50,INDOOR,44.0,4.0
10690,2016-06-22 17:00,NUM,44.0,4.0
10690,2016-06-22 16:10,INDOOR,44.0,4.0
10690,2016-06-22 15:40,NUM,44.0,4.0
10690,2016-06-22 8:50,INDOOR,44.0,4.0
10690,2016-06-21 17:00,NUM,44.0,4.0
10690,2016-06-21 8:50,INDOOR,44.0,4.0
5925,2016-06-22 18:20,NUM,63.0,3.0
5925,2016-06-22 15:20,INDOOR,63.0,3.0
5925,2016-06-22 14:50,NUM,63.0,3.0
5925,2016-06-22 7:10,INDOOR,63.0,3.0
5925,2016-06-21 16:00,NUM,63.0,3.0
5925,2016-06-21 12:00,INDOOR,63.0,3.0
5925,2016-06-21 11:30,NUM,63.0,3.0
5925,2016-06-21 10:00,INDOOR,63.0,3.0
5925,2016-06-22 19:00,NUM,41.0,3.0
5925,2016-06-22 18:00,INDOOR,41.0,3.0
5925,2016-06-22 15:30,NUM,41.0,3.0
5925,2016-06-22 9:10,INDOOR,41.0,3.0
5925,2016-06-22 7:00,NUM,41.0,3.0
5925,2016-06-22 6:40,INDOOR,41.0,3.0
5925,2016-06-21 22:30,NUM,41.0,3.0
5925,2016-06-21 22:00,INDOOR,41.0,3.0
5925,2016-06-21 19:20,NUM,41.0,3.0
5925,2016-06-21 17:20,INDOOR,41.0,3.0
5925,2016-06-21 14:20,NUM,41.0,3.0
5925,2016-06-21 13:00,INDOOR,41.0,3.0
5925,2016-06-21 12:20,NUM,41.0,3.0
5925,2016-06-21 9:00,INDOOR,41.0,3.0
5925,2016-06-21 7:00,NUM,41.0,3.0
5925,2016-06-21 6:40,INDOOR,41.0,3.0
5925,2016-06-22 22:30,NUM,42.0,3.0
5925,2016-06-22 6:40,INDOOR,42.0,3.0
5925,2016-06-21 22:30,NUM,42.0,3.0
5925,2016-06-21 6:40,INDOOR,42.0,3.0
1159,2016-06-25 16:20,NUM,70.0,1.0
1159,2016-06-25 13:40,INDOOR,70.0,1.0
11233,2016-06-26 16:40,NUM,73.0,2.0
11233,2016-06-26 15:10,INDOOR,73.0,2.0
11233,2016-06-26 10:40,NUM,73.0,2.0
11233,2016-06-26 9:50,INDOOR,73.0,2.0
11233,2016-06-26 20:50,NUM,69.0,2.0
11233,2016-06-26 7:00,INDOOR,69.0,2.0
11233,2016-06-25 20:30,NUM,69.0,2.0
11233,2016-06-25 8:00,INDOOR,69.0,2.0
