class	value
N(-1.5,0.1)	-1.52713886347192
N(-1.5,0.1)	-1.54424803054807
N(-1.5,0.1)	-1.49254782640139
N(-1.5,0.1)	-1.45650512535172
N(-1.5,0.1)	-1.55541409633981
N(-1.5,0.1)	-1.63886942120202
N(-1.5,0.1)	-1.64518796044547
N(-1.5,0.1)	-1.37811366408735
N(-1.5,0.1)	-1.33902616330973
N(-1.5,0.1)	-1.52294644973793
N(-1.5,0.1)	-1.41819531551516
N(-1.5,0.1)	-1.35927280211726
N(-1.5,0.1)	-1.49548281597167
N(-1.5,0.1)	-1.74094554136093
N(-1.5,0.1)	-1.65445036213693
N(-1.5,0.1)	-1.61793786103003
N(-1.5,0.1)	-1.67893000245144
N(-1.5,0.1)	-1.46215712906659
N(-1.5,0.1)	-1.4755271394403
N(-1.5,0.1)	-1.516183341378
N(-1.5,0.1)	-1.35315644036801
N(-1.5,0.1)	-1.36872110653285
N(-1.5,0.1)	-1.38311911821479
N(-1.5,0.1)	-1.46164656172008
N(-1.5,0.1)	-1.47611691955189
N(-1.5,0.1)	-1.36308990414571
N(-1.5,0.1)	-1.65386804650139
N(-1.5,0.1)	-1.5348948803202
N(-1.5,0.1)	-1.42355759086872
N(-1.5,0.1)	-1.52303136457995
N(-1.5,0.1)	-1.47213524214016
N(-1.5,0.1)	-1.43929950935706
N(-1.5,0.1)	-1.4891209970002
N(-1.5,0.1)	-1.32134374927928
N(-1.5,0.1)	-1.43678374909375
N(-1.5,0.1)	-1.42163957110124
N(-1.5,0.1)	-1.35165404140299
N(-1.5,0.1)	-1.53081869535338
N(-1.5,0.1)	-1.58749802981722
N(-1.5,0.1)	-1.42109343958121
N(-1.5,0.1)	-1.68942500211548
N(-1.5,0.1)	-1.40701833992497
N(-1.5,0.1)	-1.38259763701231
N(-1.5,0.1)	-1.68545168948006
N(-1.5,0.1)	-1.48450305005868
N(-1.5,0.1)	-1.52599804175949
N(-1.5,0.1)	-1.553933375705
N(-1.5,0.1)	-1.52904393770648
N(-1.5,0.1)	-1.50737530823085
N(-1.5,0.1)	-1.57444665243374
N(-1.5,0.1)	-1.27274055837327
N(-1.5,0.1)	-1.67921567641182
N(-1.5,0.1)	-1.39145503091852
N(-1.5,0.1)	-1.46352817645034
N(-1.5,0.1)	-1.59580119674022
N(-1.5,0.1)	-1.56810978062153
N(-1.5,0.1)	-1.39011053183757
N(-1.5,0.1)	-1.36389930766269
N(-1.5,0.1)	-1.52020036810229
N(-1.5,0.1)	-1.49262354581832
N(-1.5,0.1)	-1.48125431851463
N(-1.5,0.1)	-1.41251839302463
N(-1.5,0.1)	-1.50188018926836
N(-1.5,0.1)	-1.57264085694954
N(-1.5,0.1)	-1.56607330921705
N(-1.5,0.1)	-1.59417346674138
N(-1.5,0.1)	-1.53306599161079
N(-1.5,0.1)	-1.49812274750595
N(-1.5,0.1)	-1.5651756091009
N(-1.5,0.1)	-1.5860304631681
N(-1.5,0.1)	-1.43157557591851
N(-1.5,0.1)	-1.4395255183409
N(-1.5,0.1)	-1.47079993857136
N(-1.5,0.1)	-1.48018718519073
N(-1.5,0.1)	-1.42037349733505
N(-1.5,0.1)	-1.50569638254618
N(-1.5,0.1)	-1.41701147880632
N(-1.5,0.1)	-1.62630039803774
N(-1.5,0.1)	-1.44018303020978
N(-1.5,0.1)	-1.49433419589725
N(-1.5,0.1)	-1.59347152755449
N(-1.5,0.1)	-1.32212664186785
N(-1.5,0.1)	-1.65937231751968
N(-1.5,0.1)	-1.4584033823946
N(-1.5,0.1)	-1.50921214857897
N(-1.5,0.1)	-1.36714954573213
N(-1.5,0.1)	-1.34450193010296
N(-1.5,0.1)	-1.52838335721855
N(-1.5,0.1)	-1.57546170524389
N(-1.5,0.1)	-1.52747277704304
N(-1.5,0.1)	-1.59374816672336
N(-1.5,0.1)	-1.58551584866771
N(-1.5,0.1)	-1.57410192002418
N(-1.5,0.1)	-1.4433158859003
N(-1.5,0.1)	-1.51375216417039
N(-1.5,0.1)	-1.47281115533194
N(-1.5,0.1)	-1.52216698008609
N(-1.5,0.1)	-1.53065222461442
