pos_date,pos_hour,date_hour,shop_nm,sales_amt,prom_yn
20170601,10,2017060110,B,330.0,N
20170602,13,2017060213,A,992.0,N
20170602,22,2017060222,A,1213.0,N
20170602,22,2017060222,B,2095.0,N
20170602,13,2017060213,B,2426.0,N
20170603,16,2017060316,A,3970.0,N
20170603,16,2017060316,B,4742.0,N
20170604,19,2017060419,A,3529.0,N
20170604,19,2017060419,B,2426.0,N
20170605,21,2017060521,B,3970.0,N
20170605,12,2017060512,A,1433.0,N
20170605,21,2017060521,A,2095.0,N
20170605,12,2017060512,B,1764.0,N
20170606,15,2017060615,A,2426.0,N
20170607,18,2017060718,B,2206.0,N
20170607,18,2017060718,A,2316.0,N
20170608,20,2017060820,B,2867.0,N
20170608,11,2017060811,A,882.0,N
20170608,20,2017060820,A,1764.0,N
20170609,14,2017060914,B,2426.0,N
20170609,14,2017060914,A,1654.0,N
20170610,10,2017061010,B,882.0,N
20170611,13,2017061113,B,992.0,N
20170611,13,2017061113,A,2316.0,N
20170611,22,2017061122,A,992.0,N
20170611,22,2017061122,B,1103.0,N
20170612,16,2017061216,A,1433.0,N
20170612,16,2017061216,B,3309.0,N
20170613,19,2017061319,A,2647.0,N
20170613,19,2017061319,B,2206.0,N
20170614,12,2017061412,B,772.0,N
20170614,21,2017061421,B,2095.0,N
20170614,21,2017061421,A,2316.0,N
20170615,15,2017061515,B,2316.0,N
20170615,15,2017061515,A,1213.0,N
20170616,18,2017061618,B,2451.0,N
20170616,18,2017061618,A,2194.0,N
20170617,20,2017061720,A,2166.0,N
20170617,11,2017061711,A,1544.0,N
20170617,20,2017061720,B,1710.0,N
20170617,11,2017061711,B,2757.0,N
20170618,14,2017061814,B,1985.0,N
20170618,14,2017061814,A,2316.0,N
20170619,17,2017061917,B,2867.0,N
20170619,17,2017061917,A,5184.0,N
20170620,22,2017062022,A,2206.0,N
20170620,13,2017062013,A,1103.0,N
20170620,13,2017062013,B,2426.0,N
20170620,22,2017062022,B,1213.0,N
20170621,16,2017062116,A,2978.0,N
20170621,16,2017062116,B,3639.0,N
20170622,19,2017062219,B,1738.0,N
20170622,19,2017062219,A,3529.0,N
20170623,21,2017062321,A,2536.0,N
20170623,12,2017062312,B,1433.0,N
20170623,12,2017062312,A,882.0,N
20170623,21,2017062321,B,2647.0,N
20170624,15,2017062415,B,1654.0,N
20170624,15,2017062415,A,1985.0,N
20170625,18,2017062518,A,3198.0,Y
20170625,18,2017062518,B,3750.0,Y
20170626,20,2017062620,B,1875.0,Y
20170626,20,2017062620,A,2757.0,Y
20170627,14,2017062714,A,2316.0,Y
20170627,14,2017062714,B,1544.0,Y
20170628,17,2017062817,A,2867.0,Y
20170628,17,2017062817,B,2316.0,Y
20170629,10,2017062910,B,330.0,Y
20170630,16,2017063016,A,3750.0,Y
20170630,16,2017063016,B,2426.0,Y
20170606,15,2017060615,B,1875.0,N
20170610,10,2017061010,A,441.0,N
20170614,12,2017061412,A,441.0,N
20170626,11,2017062611,A,110.0,Y
20170626,11,2017062611,B,772.0,Y
20170608,11,2017060811,B,551.0,N
20170629,10,2017062910,A,220.0,Y
20170601,10,2017060110,A,110.0,N
20170601,20,2017060120,B,1985.0,N
20170601,20,2017060120,A,2757.0,N
20170601,11,2017060111,A,0.0,N
20170602,14,2017060214,B,1654.0,N
20170602,14,2017060214,A,3309.0,N
20170603,17,2017060317,A,4853.0,N
20170603,17,2017060317,B,3750.0,N
20170604,10,2017060410,A,330.0,N
20170605,22,2017060522,B,1433.0,N
20170605,13,2017060513,B,1654.0,N
20170605,13,2017060513,A,3529.0,N
20170605,22,2017060522,A,1213.0,N
20170606,16,2017060616,B,2206.0,N
20170606,16,2017060616,A,2095.0,N
20170607,19,2017060719,A,1875.0,N
20170607,19,2017060719,B,1213.0,N
20170608,21,2017060821,A,2867.0,N
20170608,12,2017060812,B,1433.0,N
20170608,12,2017060812,A,661.0,N
